		能助手	能助手	com.mobile.neng.apps	/NengApps
		飘信	WingLetter	com.piaomsg	/wingletter
视频		奇艺影视	奇艺影视	com.qiyi.video	QIYIVideo
		全国影讯	全国影讯	com.mtime	/Mtime
		人脸混合器	Face Blender	obg1.FaceBlender	/FaceBlender
		人人	人人	com.renren.mobile.android	Renren
		三国杀	三国杀	com.bf.sgs	/snda/sdw
数据包	Gameloft	史瑞克赛车	Shrek kart	com.gameloft.android.TBFV.GloftSKHP.ML	/gameloft/games/shrekkarting
	腾讯	手机QQ2011	手机QQ	com.tencent.qq	/.QQ
		手机QQ空间	Qzone	com.qzone	Tencent/Qzone
浏览器下载	腾讯	手机QQ浏览器	手机QQ浏览器	com.tencent.mtt	/QQBrowser
		手机毒霸	手机毒霸	com.ijinshan.duba	duba
		手机迅雷	手机迅雷	xunlei.com	/thunder
		搜房网	搜房网	com.soufun.app	/soufun
	搜狐	搜狗输入法	搜狗输入法	com.sohu.inputmethod.sogou	/sogou
	搜狐	搜狐微博	搜狐微博	com.cola.twisohu	Sohu/SohuMBlog
电子书		塔读	塔读	com.tadu.android	/tadu
数据包		钛备份	TitaniumBackup	com.keramidas.TitaniumBackup	TitaniumBackup
	阿里	淘宝	淘宝	com.taobao.taobao	com.taobao.taobao
	腾讯	腾讯视频	腾讯视频	com.tencent.qqlive	/.QQLive
	腾讯	腾讯手机管家	腾讯手机管家	com.tencent.qqpimsecure	/QQSecureDownload
	腾讯	腾讯微博	腾讯微博	com.tencent.WBlog	Tencent/weibo
		腾讯微信	腾讯微信	com.tencent.mm	/Tencent/MicroMsg
		天火浏览器	Skyfire	com.skyfire.browser	/skyfire
	阿里	天猫商城	天猫商城	com.tmall.wireless	com.tmall.wireless
音乐		天天动听	天天动听	com.sds.android.ttpod	/TTPod
数据包		图吧地图	Mapbar MAP	com.mapbar.android.mapbarmap	/mapbar
		图钉线条人	PinMan	uk.co.cwd.pinman	/pinman
		土豆	土豆	com.tudou.android	/tudoucache
视频		土豆	土豆	com.tudou.android	/tudou/offlinedata
		瓦力流量	瓦力流量	com.wali.NetworkAssistant	wali
应用		豌豆荚	豌豆荚	com.wandoujia.phoenix2	wandoujia
		玩转四方	foursquare	com.joelapenna.foursquared	foursquare
		万能记事本	Note Everything	de.softxperience.android.noteeverything	/noteeverything
视频	网易	网易公开课	网易公开课	com.netease.vopen	/netease/vopen/course_download
新闻	网易	网易新闻	网易新闻	com.netease.newsreader.activity	/netease
电子书	网易	网易云阅读	网易云阅读	com.netease.pris	pris
		蜗牛电视	蜗牛电视	com.ikan.ui	Ikan
		我查查	我查查	com.wochacha	.wochachaCache
数据包		嘻哈三国塔防	3 Kingdoms TD	com.joymasterrocks.ThreeKTD	/3KTD
数据包	Gameloft	细胞分裂	Splinter Cell Conviction	com.netmite.andme.launcher.splinter_cell_convic	/gameloft/games/SCHP
音乐		虾米音乐	虾米音乐	com.xiami	/xiami
电子书	鲜果	鲜果读书	鲜果读书	com.xianguo.book	XianGuoBook
数据包	Gameloft	现代战争2黑色飞马	Modern Combat 2: Black Pegasu 	com.gameloft.android.GAND.GloftBPHP.ML	/gameloft/games/GloftBPHP
	小米	小米分享	小米分享	com.xiaomi.xshare	/xshare_downloads
		小鸟爆破	Birzzle	com.enfeel.birzzle	Birzzle
		新歌猎手	新歌猎手	com.javaeye.hkliya.downloader	/new_mp3
微博保存	新浪	新浪微博	新浪微博	com.sina.weibo	sina/weibo/save
微博下载	新浪	新浪微博	新浪微博	com.sina.weibo	sina/weibo/download
		幸运破解器	幸运破解器	com.chelpus.lackypatch	LuckyPatcher
数据包	Gameloft	兄弟连	Brothers in ArMilestone2 	com.gameloft.android.ANMP.GloftB2HM	/gameloft/games/bia2
数据包	Gameloft	一起高尔夫	Letsgolf	com.gameloft.android.GAND.GloftLG09.LetsGolf	/gameloft/games/letsgolf
		一起来猜词	Word With Friend	com.zynga.words	/burstlyImageCache
		易行	易行	cn.etouch.etravel	/etouch
数据包	Gameloft	鹰击长空	Tom Clancy's H.A.W.X	com.AirForce	/gameloft/games/hawx
视频		优酷	优酷	com.youku.phone	/youku/offlinedata
	盛大	优酷	切客	com.snda.uvanmobile	/qieke
		友图	PhotoSola	cn.jingling.picblog	/.PhotoSola
	网易	有道云笔记	有道云笔记	com.youdao.note	.YoudaoNote
数据包		云词	云词	panso.remword	/Remword
		云舟浏览器	Boat Browser	com.boatgo.browser	/BoatDownload
电子书		眨眼阅读	winkreader	pirate.reader	/winkreader
	百度	掌上百度	掌上百度	bdmobile.android.app	/baidu/.zhangbaicache
电子书		掌上书院	掌上书院	com.mbook.android	/mbook
		掌上应用汇	AppOnHand	com.yingyonghui.market	/Yingyonghui
	正点	正点日历	正点日历	com.zdworks.android.zdcalendar	.ZDCalendar
电子书	腾讯	追书达人	追书达人	com.soso.novel	/com.soso.novel
电子书		字节社	字节社	tc.tangcha.book	.tangcha
数据包	Gameloft	罪恶都市 迈阿密风云	Gangstar:Miami Vindication	com.gameloft.android.TBFV.GloftGMHP.ML	/gameloft/games/Gangstar2
